season,roster_tier,mean_worp,median_worp,min_worp,max_worp,n
2023,13,-0.37040180859375,-0.3737030898437501,-0.4049410078125,-0.3159699296874998,12
2023,14,-0.442665154296875,-0.4442021484375,-0.4641004921875001,-0.4050248359374999,12
2023,15,-0.4983751289062501,-0.4912449999999998,-0.5454537109375002,-0.4678828124999999,12
2023,16,-0.5967216197916668,-0.58516333203125,-0.6586328359375002,-0.5467337031250001,12
2023,17,-0.6992099583333334,-0.68573339453125,-0.7519339687500002,-0.6605781640625001,12
2023,18,-0.8220174850260418,-0.7993942187500002,-0.956100625,-0.7540986015625001,12
2023,19,-1.088352697048611,-1.0518755703124998,-1.2784166015625,-0.9576988984375,9
2024,1,1.8833545390625002,1.748160390625,1.5085174218750004,3.0857394765625004,12
2024,2,1.30849075,1.3231825039062501,1.1363917031250002,1.4779157109375003,12
2024,3,0.9708029895833334,0.96728956640625,0.8756442812500004,1.0557345703125,12
2024,4,0.6894216002604168,0.7353358984375,0.4968490625000001,0.8693061718750003,12
2024,5,0.3763792656250002,0.3979494882812501,0.2238591015625001,0.4730131562500002,12
2024,6,0.1577289251302085,0.1587761015625001,0.1211174999999999,0.2173063281249999,12
2024,7,0.05432264388020843,0.05865331250000015,-0.0128878437499999,0.114612578125,12
2024,8,-0.03891460091145823,-0.038209757812499995,-0.0591204843749996,-0.0146331171874998,12
2024,9,-0.07815403515624991,-0.0769719218749999,-0.1041591875,-0.0599673515624998,12
2024,10,-0.12800562630208326,-0.12278631249999994,-0.1575496015624999,-0.1071382812499996,12
2024,11,-0.19062378124999987,-0.19422237890624985,-0.2278169296875,-0.1576710546874999,12
2024,12,-0.2562414283854166,-0.25451156249999995,-0.2781127968749999,-0.2298239531249999,12
2024,13,-0.3040501835937499,-0.30562575000000003,-0.3219947812499998,-0.281061,12
2024,14,-0.3555998424479166,-0.3559315117187499,-0.3924317031249998,-0.3272754531249999,12
2024,15,-0.4245943470052082,-0.4271256835937499,-0.4462231171875002,-0.3960360625,12
