season,week,player_id,player_name,position,weekly_worp,fantasy_points,capturability,reason,latest_drop_week,latest_drop_created_utc,latest_drop_transaction_id,player_name_worp,position_worp,weekly_worp_worp,fantasy_points_worp,carries,targets,receptions,pass_attempts,rush_yards,rec_yards,pass_yards,rush_tds,rec_tds,pass_tds,total_tds,scrimmage_yards,volume,volume_band,zero_td,has_td,low_volume,mid_volume,high_volume
2023,5,7694,Tommy Tremble,TE,0.0015858984374999,8.1,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Tommy Tremble,TE,0.0015858984374999,8.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,LOW,False,True,True,False,False
2023,5,8181,Connor Heyward,RB,0.0315345859375,10.3,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Connor Heyward,RB,0.0315345859375,10.3,0.0,4.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,LOW,True,False,True,False,False
2023,5,5113,Cedrick Wilson,WR,0.0268771874999999,10.7,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Cedrick Wilson,WR,0.0268771874999999,10.7,0.0,4.0,4.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,MID,True,False,False,True,False
2023,5,8917,KaVontae Turpin,WR,0.0177544375,9.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,KaVontae Turpin,WR,0.0177544375,9.6,0.0,1.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,1.0,26.0,1.0,LOW,False,True,True,False,False
2023,5,5695,Brandon Powell,WR,0.0285860078125,10.9,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Brandon Powell,WR,0.0285860078125,10.9,1.0,6.0,4.0,0.0,9.0,43.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,MID,True,False,False,True,False
2023,5,5985,Foster Moreau,TE,0.0056433046874999,8.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Foster Moreau,TE,0.0056433046874999,8.6,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,LOW,False,True,True,False,False
2023,5,6598,Trenton Irwin,WR,0.0712376953124999,16.0,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Trenton Irwin,WR,0.0712376953124999,16.0,0.0,10.0,8.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,HIGH,True,False,False,False,True
2023,5,6659,Craig Reynolds,RB,0.058861125,13.6,CAPTURABLE,DROP_BEFORE_TARGET_WEEK,4.0,2023-10-03T18:35:54.758000+00:00,1.0150033037232579e+18,Craig Reynolds,RB,0.058861125,13.6,7.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,7.0,LOW,False,True,True,False,False
2023,6,7536,Quintin Morris,TE,0.0292596171874999,9.5,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Quintin Morris,TE,0.0292596171874999,9.5,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,15.0,1.0,LOW,False,True,True,False,False
2023,6,5985,Foster Moreau,TE,0.0755174999999999,13.3,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Foster Moreau,TE,0.0755174999999999,13.3,0.0,4.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,MID,True,False,False,True,False
