start_rank,end_rank,rank_gap,start_mean_worp,end_mean_worp,worp_cost,worp_cost_per_rank
33,45,12,0.7338647239583332,0.28161530208333324,0.452249421875,0.03768745182291667
33,51,18,0.7338647239583332,0.12602613541666643,0.6078385885416668,0.033768810474537045
34,37,3,0.6717888072916667,0.5263850651041665,0.14540374218750018,0.04846791406250006
34,40,6,0.6717888072916667,0.4836781848958332,0.18811062239583348,0.03135177039930558
34,46,12,0.6717888072916667,0.2543830156249998,0.41740579166666686,0.034783815972222236
34,52,18,0.6717888072916667,0.10429038802083324,0.5674984192708334,0.03152768995949075
35,38,3,0.6373831015624999,0.5029127057291665,0.13447039583333342,0.04482346527777781
35,41,6,0.6373831015624999,0.42156036458333307,0.21582273697916682,0.03597045616319447
35,47,12,0.6373831015624999,0.2309024817708334,0.4064806197916665,0.03387338498263887
35,53,18,0.6373831015624999,0.09840520833333333,0.5389778932291666,0.029943216290509254
36,39,3,0.5957041588541664,0.4953108359375,0.10039332291666636,0.03346444097222212
36,42,6,0.5957041588541664,0.4047659010416666,0.1909382578124998,0.031823042968749965
36,48,12,0.5957041588541664,0.20416041406249988,0.39154374479166654,0.032628645399305545
36,54,18,0.5957041588541664,0.0802969817708331,0.5154071770833333,0.028633732060185182
37,40,3,0.5263850651041665,0.4836781848958332,0.0427068802083333,0.014235626736111099
37,43,6,0.5263850651041665,0.3550096276041665,0.1713754375,0.028562572916666668
37,49,12,0.5263850651041665,0.19467057291666653,0.33171449218749993,0.02764287434895833
37,55,18,0.5263850651041665,0.05583757552083337,0.47054748958333315,0.026141527199074064
38,41,3,0.5029127057291665,0.42156036458333307,0.0813523411458334,0.027117447048611132
38,44,6,0.5029127057291665,0.31042541406249985,0.19248729166666662,0.03208121527777777
38,50,12,0.5029127057291665,0.1738351796874998,0.3290775260416666,0.027423127170138884
38,56,18,0.5029127057291665,0.03880276041666656,0.4641099453124999,0.025783885850694438
39,42,3,0.4953108359375,0.4047659010416666,0.09054493489583343,0.03018164496527781
39,45,6,0.4953108359375,0.28161530208333324,0.21369553385416679,0.0356159223090278
39,51,12,0.4953108359375,0.12602613541666643,0.3692847005208336,0.0307737250434028
39,57,18,0.4953108359375,0.020070510416666704,0.47524032552083334,0.026402240306712964
40,43,3,0.4836781848958332,0.3550096276041665,0.1286685572916667,0.04288951909722224
40,46,6,0.4836781848958332,0.2543830156249998,0.22929516927083338,0.038215861545138896
40,52,12,0.4836781848958332,0.10429038802083324,0.37938779687499996,0.03161564973958333
40,58,18,0.4836781848958332,0.011361109374999937,0.47231707552083324,0.02623983752893518
41,44,3,0.42156036458333307,0.31042541406249985,0.11113495052083322,0.03704498350694441
41,47,6,0.42156036458333307,0.2309024817708334,0.19065788281249968,0.03177631380208328
41,53,12,0.42156036458333307,0.09840520833333333,0.32315515624999974,0.026929596354166644
41,59,18,0.42156036458333307,-0.008262338541666766,0.4298227031249998,0.02387903906249999
42,45,3,0.4047659010416666,0.28161530208333324,0.12315059895833336,0.041050199652777786
42,48,6,0.4047659010416666,0.20416041406249988,0.20060548697916672,0.03343424782986112
42,54,12,0.4047659010416666,0.0802969817708331,0.3244689192708335,0.027039076605902792
42,60,18,0.4047659010416666,-0.018146135416666903,0.42291203645833353,0.023495113136574083
43,46,3,0.3550096276041665,0.2543830156249998,0.10062661197916667,0.033542203993055554
43,49,6,0.3550096276041665,0.19467057291666653,0.16033905468749995,0.026723175781249994
43,55,12,0.3550096276041665,0.05583757552083337,0.29917205208333314,0.02493100434027776
43,61,18,0.3550096276041665,-0.035886216145833434,0.3908958437499999,0.021716435763888885
44,47,3,0.31042541406249985,0.2309024817708334,0.07952293229166646,0.026507644097222154
44,50,6,0.31042541406249985,0.1738351796874998,0.13659023437500004,0.022765039062500006
44,56,12,0.31042541406249985,0.03880276041666656,0.27162265364583327,0.022635221137152772
44,62,18,0.31042541406249985,-0.04363427864583353,0.3540596927083334,0.019669982928240744
45,48,3,0.28161530208333324,0.20416041406249988,0.07745488802083336,0.025818296006944453
45,51,6,0.28161530208333324,0.12602613541666643,0.1555891666666668,0.0259315277777778
45,57,12,0.28161530208333324,0.020070510416666704,0.26154479166666655,0.021795399305555546
45,63,18,0.28161530208333324,-0.06281019531250007,0.3444254973958333,0.01913474985532407
46,49,3,0.2543830156249998,0.19467057291666653,0.059712442708333285,0.01990414756944443
46,52,6,0.2543830156249998,0.10429038802083324,0.15009262760416658,0.025015437934027763
46,58,12,0.2543830156249998,0.011361109374999937,0.2430219062499999,0.020251825520833325
46,64,18,0.2543830156249998,-0.067085796875,0.3214688124999998,0.01785937847222221
47,50,3,0.2309024817708334,0.1738351796874998,0.057067302083333576,0.019022434027777858
47,53,6,0.2309024817708334,0.09840520833333333,0.13249727343750006,0.02208287890625001
47,59,12,0.2309024817708334,-0.008262338541666766,0.23916482031250016,0.019930401692708346
47,65,18,0.2309024817708334,-0.07571187760416674,0.30661435937500015,0.017034131076388896
48,51,3,0.20416041406249988,0.12602613541666643,0.07813427864583344,0.026044759548611147
48,54,6,0.20416041406249988,0.0802969817708331,0.12386343229166678,0.020643905381944463
48,60,12,0.20416041406249988,-0.018146135416666903,0.22230654947916678,0.018525545789930566
48,66,18,0.20416041406249988,-0.09100454166666679,0.2951649557291667,0.016398053096064815
49,52,3,0.19467057291666653,0.10429038802083324,0.0903801848958333,0.0301267282986111
49,55,6,0.19467057291666653,0.05583757552083337,0.13883299739583316,0.023138832899305527
49,61,12,0.19467057291666653,-0.035886216145833434,0.23055678906249996,0.01921306575520833
