season,week,player_id,player_name,position,weekly_worp,fantasy_points,observed_state,capturability,reason,evidence_tx_week,evidence_tx_type,evidence_tx_id,evidence_created_utc
2024,16,10227,Payne Durham,TE,0.0471569062499999,13.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,16,7694,Tommy Tremble,TE,0.0205064062499999,11.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,16,7607,Michael Carter,RB,0.0309276640624999,12.3,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,16.0,waiver,1177554855081938944,2024-12-25T07:57:44.663000+00:00
2024,16,11378,Jordan Mims,RB,0.0038332421874999,9.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,16,11370,Chris Brooks,RB,0.0201634531249998,11.2,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,16.0,waiver,1177285691931496448,2024-12-24T14:08:11.167000+00:00
2024,17,5374,Justin Watson,WR,0.0610040234375,15.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,10234,Derius Davis,WR,0.0183334140624999,10.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,3258,Nick Vannett,TE,0.0017604921875001,8.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,11377,Tyrell Shavers,WR,0.0738787656249999,16.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,11820,Devin Culp,TE,0.040410609375,13.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,5032,Jordan Akins,TE,0.0919885078125,18.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,17,10227,Payne Durham,TE,0.052968546875,14.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,6001,Drew Sample,TE,0.0081715781249999,10.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,5032,Jordan Akins,TE,0.1608856953125001,26.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,11820,Devin Culp,TE,0.0004620156249999,9.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,4189,Eric Saubert,TE,0.0206680234375,11.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,8250,Tay Martin,WR,0.0339153046875,13.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,6960,Tyler Johnson,WR,0.0397676953125,14.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,10212,Josh Whyle,TE,0.0617051328125,15.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,10227,Payne Durham,TE,0.0197208359375,11.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,11370,Chris Brooks,RB,0.0125168906249999,9.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,11615,Ainias Smith,WR,0.0407276796875,14.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,5970,Greg Dortch,WR,0.1142676640625001,22.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,3271,Tyler Higbee,TE,0.127604921875,22.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,7694,Tommy Tremble,TE,0.0430721484375,14.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,6984,Tony Jones,RB,0.06455925,14.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,9230,Tanner McKee,QB,0.1980728125,34.96,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,18,2381,Chris Conley,WR,0.0048140859375,10.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,1,10214,Davis Allen,TE,0.0067967265625,9.3,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,waiver,1236326294166196224,2025-06-05T12:14:27.663000+00:00
2025,1,7757,Ben Skowronek,WR,0.0098108046875,9.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,1,8698,Jake Tonges,TE,0.0719975234375,14.5,FREE,AMBIGUOUS,TIMING_UNRESOLVED,2.0,waiver,1271703462131826688,2025-09-11T03:10:41.782000+00:00
2025,2,7595,Tylan Wallace,WR,0.0068949453125,11.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,2,7842,Luke Farrell,TE,0.0173604453124999,11.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,2,6869,Adam Trautman,TE,0.0439313828124999,14.0,FREE,AMBIGUOUS,TIMING_UNRESOLVED,3.0,waiver,1274848546310328320,2025-09-19T19:28:08.282000+00:00
2025,2,7891,Brock Wright,TE,0.0632393359374999,15.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
