pos_rank,seasons,mean_worp,median_worp,sd_worp
107,3,-0.4467141614583334,-0.4478216171875001,0.027396179674160918
108,3,-0.45499523177083345,-0.4561245078125003,0.021197705015183175
109,3,-0.46283923697916673,-0.4751402500000002,0.025741101606734748
110,3,-0.46867460156250007,-0.480122,0.02948498993454761
111,3,-0.4702711250000002,-0.4813281015625001,0.02822602544388691
112,3,-0.4771875000000001,-0.4844121015625,0.023792355980633704
113,3,-0.48847010937499996,-0.4975581015625001,0.020992665654443354
114,3,-0.4960966848958335,-0.4979138437500003,0.015936986170428734
115,3,-0.5002885885416668,-0.5017678984375002,0.0127144308408193
116,3,-0.5052032265625,-0.5049919609375002,0.015019122262287393
117,3,-0.5092162447916668,-0.5049919609375002,0.013698801190872092
118,3,-0.5163484739583334,-0.5127782421874999,0.009099583649675155
119,3,-0.5232157786458335,-0.5158070156250001,0.018493453306306102
120,3,-0.5278392083333335,-0.5185154531250006,0.018544306187813595
121,3,-0.5305136223958334,-0.5215078671875001,0.016182151068692384
122,3,-0.5355095859375001,-0.5235404531250003,0.02210410055855555
123,3,-0.5449634895833334,-0.530680859375,0.024909646476167634
124,3,-0.5481511328125,-0.5314433515624999,0.029537801160641215
125,3,-0.5662656276041668,-0.5526665,0.04305522079635658
126,3,-0.5808199635416668,-0.5650260468750001,0.03950733379396029
127,3,-0.5918965156250001,-0.57887421875,0.03700519860219805
128,3,-0.6025905234375001,-0.5983341640625,0.029581590251122995
129,3,-0.6117567083333335,-0.6084041171875001,0.023188235247069287
130,3,-0.6160137578125001,-0.6132222734375001,0.025892556694655813
131,3,-0.6204686927083335,-0.6161531093750001,0.025398818035231717
132,3,-0.6330069192708336,-0.6234653671875002,0.018525688823517884
133,3,-0.6432893671875001,-0.6348686718750001,0.022288810315300132
134,3,-0.6555343776041668,-0.6576287187500003,0.021224269427355925
135,3,-0.6659521458333336,-0.6786883750000002,0.02319565943443357
136,3,-0.6727411458333333,-0.6861129140625,0.02327794566862663
137,3,-0.6792311770833335,-0.6907970937500001,0.028866681531921345
138,3,-0.6816254114583336,-0.69276425,0.027022396507093874
139,3,-0.6888077031250001,-0.6942689375000002,0.02875394125786251
140,3,-0.6922032786458333,-0.698879515625,0.029038150242159555
141,3,-0.6928518098958336,-0.6995848750000002,0.029020674684340157
142,3,-0.7017672083333335,-0.7057476796875002,0.024579139261147263
143,3,-0.7045738880208333,-0.7113396875000001,0.024245127600973405
144,3,-0.7077221380208334,-0.7141266640625,0.023677495628834998
145,3,-0.7159539322916667,-0.7167367578124999,0.03224147609324129
146,3,-0.7211053463541668,-0.7240293984375,0.033094298825457634
147,3,-0.7251966171875002,-0.7245742734375,0.032461154325506614
148,3,-0.7311941484375003,-0.7245742734375,0.026720938381433912
149,3,-0.73177340625,-0.7252496562500002,0.0263212289272831
150,3,-0.7372050572916669,-0.7269335937499999,0.028401275369623537
151,3,-0.7404847708333335,-0.72906040625,0.025743374823721323
152,3,-0.7433779036458334,-0.7306327968750002,0.027823229169400724
153,3,-0.7518156354166668,-0.74010396875,0.0225015429302005
154,3,-0.7567216171875001,-0.7437692031250001,0.025932637585213875
155,3,-0.7650608359375001,-0.7598887812499999,0.025698154787049853
156,3,-0.7681325677083333,-0.7655909453124998,0.024015819585492985
157,3,-0.7731916458333333,-0.7753767421875,0.026440683167449984
158,3,-0.7828086510416669,-0.7788314765625002,0.020778050669100087
159,3,-0.7883294218750002,-0.7792633828125001,0.018464123622607843
160,3,-0.7914446979166669,-0.7812575000000004,0.01770590199440937
161,3,-0.7943782005208334,-0.785489671875,0.018071860909230082
