format_key,scoring_total,families_observed,best_family_mean_regret,surface_median_mean_regret,surface_p75_mean_regret,surface_p90_mean_regret,families_joint_eq_025,QB_low_025,QB_high_025,RB_low_025,RB_high_025,WR_low_025,WR_high_025,TE_low_025,TE_high_025,families_joint_eq_050,QB_low_050,QB_high_050,RB_low_050,RB_high_050,WR_low_050,WR_high_050,TE_low_050,TE_high_050,families_joint_eq_100,QB_low_100,QB_high_100,RB_low_100,RB_high_100,WR_low_100,WR_high_100,TE_low_100,TE_high_100,families_joint_eq_150,QB_low_150,QB_high_150,RB_low_150,RB_high_150,WR_low_150,WR_high_150,TE_low_150,TE_high_150,range_stable_050_to_100,status
14T|1QB|Start8|QB1|RB2|WR2|TE1|FLEX2|SFLEX0|noTEP,12,51,0.0004433938911022,0.0724231677672518,0.09402474107953215,0.141177145498008,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,True,BROAD_EQUIVALENCE_PLATEAU
14T|1QB|Start8|QB1|RB2|WR2|TE1|FLEX2|SFLEX0|noTEP,13,81,0.0,0.0802689447203701,0.1171988307009759,0.1604510909850628,4,2,2,3,5,4,6,2,3,4,2,2,3,5,4,6,2,3,4,2,2,3,5,4,6,2,3,4,2,2,3,5,4,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
14T|1QB|Start8|QB1|RB2|WR3|TE1|FLEX1|SFLEX0|noTEP,11,30,0.0020112815200629,0.0695654305462384,0.08995553258105592,0.10545408122166716,2,1,2,3,3,4,5,2,2,2,1,2,3,3,4,5,2,2,2,1,2,3,3,4,5,2,2,2,1,2,3,3,4,5,2,2,True,BROAD_EQUIVALENCE_PLATEAU
14T|1QB|Start8|QB1|RB2|WR3|TE1|FLEX1|SFLEX0|noTEP,12,50,0.0017773778744245,0.07606864608375274,0.10744456862116916,0.12962182363213542,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,3,1,2,3,4,4,5,2,2,True,BROAD_EQUIVALENCE_PLATEAU
14T|1QB|Start9|QB1|RB2|WR3|TE1|FLEX2|SFLEX0|noTEP,12,32,0.0007460683687687,0.05481248059611005,0.07126997450895257,0.08471307213178064,2,1,2,3,4,5,5,2,2,2,1,2,3,4,5,5,2,2,2,1,2,3,4,5,5,2,2,2,1,2,3,4,5,5,2,2,True,BROAD_EQUIVALENCE_PLATEAU
14T|1QB|Start9|QB1|RB2|WR3|TE1|FLEX2|SFLEX0|noTEP,13,55,0.0,0.0719880803776613,0.09217621198077175,0.11175810271452298,2,1,2,4,4,5,6,2,2,2,1,2,4,4,5,6,2,2,2,1,2,4,4,5,6,2,2,2,1,2,4,4,5,6,2,2,True,BROAD_EQUIVALENCE_PLATEAU
14T|SF|Start10|QB1|RB2|WR2|TE1|FLEX3|SFLEX1|TEP,13,9,0.0,0.043668747779661,0.0547123249576271,0.13039451185932208,3,2,3,4,4,4,5,2,3,3,2,3,4,4,4,5,2,3,3,2,3,4,4,4,5,2,3,3,2,3,4,4,4,5,2,3,True,BROAD_EQUIVALENCE_PLATEAU
14T|SF|Start10|QB1|RB2|WR2|TE1|FLEX3|SFLEX1|TEP,14,21,0.0,0.053035526,0.0819942145536722,0.1482552450028248,5,2,3,4,5,4,6,2,3,5,2,3,4,5,4,6,2,3,5,2,3,4,5,4,6,2,3,5,2,3,4,5,4,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
16T|SF|Start10|QB1|RB2|WR3|TE1|FLEX2|SFLEX1|TEP,13,9,0.0,0.0360271618505338,0.0870678368003995,0.12639358975088966,3,2,2,3,4,5,6,2,3,3,2,2,3,4,5,6,2,3,3,2,2,3,4,5,6,2,3,3,2,2,3,4,5,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
16T|SF|Start10|QB1|RB2|WR3|TE1|FLEX2|SFLEX1|TEP,14,21,0.0008376871174377,0.0500666112455515,0.1242234502491104,0.1443447448116223,5,2,2,3,5,5,6,2,4,5,2,2,3,5,5,6,2,4,5,2,2,3,5,5,6,2,4,5,2,2,3,5,5,6,2,4,True,BROAD_EQUIVALENCE_PLATEAU
