league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret,signed_capture,gain_vs_old_choice
1180667636675596288,2025,1QB,12,22,5,12,4.0,8.0,6.0,4.0,evaluated,2.213257143854167,0.021353570312500143,2.204078353333333,0.009178790520834035
1180224010881282048,2025,1QB,5,14,3,8,2.0,4.0,5.0,3.0,evaluated,1.6433590258333333,0.08413730072916666,1.6433590258333333,0.0
1180224010881282048,2025,1QB,5,14,3,12,2.0,5.0,6.0,1.0,evaluated,2.02211096375,0.13574058385416676,2.1324819657291663,-0.11037100197916638
1180224010881282048,2025,1QB,5,14,5,8,2.0,4.0,5.0,3.0,evaluated,1.6877894009374999,0.05549654999999998,1.6877894009375,-2.220446049250313e-16
1180224010881282048,2025,1QB,5,14,5,12,2.0,4.0,7.0,1.0,evaluated,2.0824602408333326,0.10687343333333343,2.165695271458333,-0.08323503062500048
918960870980501504,2023,SF_1TE,5,15,3,8,3.0,3.0,6.0,3.0,evaluated,2.081212392708333,0.0,2.081212392708333,0.0
918960870980501504,2023,SF_1TE,5,15,3,12,3.0,3.0,6.0,3.0,evaluated,2.2243715114583336,0.02349158864583334,2.2243715114583336,0.0
918960870980501504,2023,SF_1TE,5,15,5,8,4.0,4.0,6.0,1.0,evaluated,1.7964916105208328,0.1993946882291667,1.99588629875,-0.19939468822916706
918960870980501504,2023,SF_1TE,5,15,5,12,3.0,3.0,6.0,3.0,evaluated,2.1728775441666666,0.009367842604166713,2.1728775441666666,0.0
918960870980501504,2023,SF_1TE,12,22,3,12,4.0,5.0,10.0,3.0,evaluated,2.2492062292708335,0.07550336083333316,2.253198596875,-0.003992367604166436
918960870980501504,2023,SF_1TE,12,22,5,12,4.0,8.0,7.0,3.0,evaluated,2.1792975931250003,0.015695501666666445,2.1455704698958336,0.03372712322916671
914741498980225024,2023,SF_1TE,5,16,3,8,4.0,3.0,5.0,4.0,evaluated,2.8128137623958334,0.09358517885416662,2.830285977291666,-0.01747221489583284
914741498980225024,2023,SF_1TE,5,16,3,12,3.0,3.0,6.0,4.0,evaluated,2.698043511666667,0.08383901333333332,2.748753391458333,-0.05070987979166608
914741498980225024,2023,SF_1TE,5,16,5,8,3.0,3.0,6.0,4.0,evaluated,2.880132336145833,0.006703031145833371,2.8171692626041662,0.06296307354166686
914741498980225024,2023,SF_1TE,5,16,5,12,3.0,3.0,6.0,4.0,evaluated,2.696923967291667,0.08125688947916654,2.7467816863541668,-0.049857719062499584
914741498980225024,2023,SF_1TE,12,23,3,8,4.0,10.0,5.0,4.0,evaluated,2.7936301961458327,0.0892911699999998,2.860574609375,-0.06694441322916722
914741498980225024,2023,SF_1TE,12,23,5,8,3.0,10.0,6.0,4.0,evaluated,2.860404633333333,0.006015648333333494,2.843371481770833,0.01703315156249996
1055621034914820096,2024,SF_1TE,5,15,3,8,3.0,2.0,6.0,4.0,evaluated,1.4496074566666663,0.34057526968749996,1.6284343979166664,-0.1788269412500001
1055621034914820096,2024,SF_1TE,5,15,3,12,3.0,4.0,5.0,3.0,evaluated,2.0589340037499997,0.05704649218750024,2.05893400375,-4.440892098500626e-16
1055621034914820096,2024,SF_1TE,5,15,5,8,3.0,6.0,4.0,2.0,evaluated,1.6164694512499995,0.12028933729166653,1.6164694512499995,0.0
1055621034914820096,2024,SF_1TE,5,15,5,12,3.0,5.0,5.0,2.0,evaluated,2.0873499201041663,0.07131608333333335,2.101893081145833,-0.014543161041666863
1055621034914820096,2024,SF_1TE,12,22,3,8,3.0,7.0,7.0,5.0,evaluated,1.8172684258333327,0.06410455010416667,1.8647260373958328,-0.04745761156250006
1055621034914820096,2024,SF_1TE,12,22,3,12,3.0,6.0,9.0,4.0,evaluated,2.0818578721874994,0.044577201354166984,2.102034015104166,-0.020176142916666695
1055621034914820096,2024,SF_1TE,12,22,5,8,3.0,8.0,7.0,4.0,evaluated,1.7243730068749994,0.018044163333333325,1.7143884018749995,0.009984604999999869
1055621034914820096,2024,SF_1TE,12,22,5,12,5.0,6.0,7.0,4.0,evaluated,2.1786895199999994,0.02117179156249997,2.190749391145833,-0.012059871145833512
1045730844721270784,2024,SF_1TE,5,16,3,8,3.0,6.0,4.0,3.0,evaluated,2.8518864642708324,0.1753246588541666,2.9801400948958325,-0.12825363062500017
1045730844721270784,2024,SF_1TE,5,16,3,12,3.0,4.0,6.0,3.0,evaluated,3.3805677884374994,0.01856659406249994,3.3901139722916667,-0.009546183854167278
1045730844721270784,2024,SF_1TE,5,16,5,8,3.0,6.0,3.0,4.0,evaluated,2.787072019791666,0.24156706531250016,2.962622891979166,-0.17555087218750032
1045730844721270784,2024,SF_1TE,5,16,5,12,3.0,4.0,6.0,3.0,evaluated,3.4637952103124996,0.011208801354166464,3.47264586125,-0.008850650937500593
1045730844721270784,2024,SF_1TE,12,23,3,8,3.0,7.0,8.0,5.0,evaluated,3.0591073612499997,0.03737079989583295,3.050220961458333,0.008886399791666832
1045730844721270784,2024,SF_1TE,12,23,3,12,6.0,6.0,8.0,3.0,evaluated,3.4011087844791668,0.020009262916666753,3.406161605833333,-0.0050528213541660705
1045730844721270784,2024,SF_1TE,12,23,5,8,3.0,8.0,8.0,4.0,evaluated,2.989205643749999,0.04851620468750036,3.0106983340624995,-0.02149269031250034
1045730844721270784,2024,SF_1TE,12,23,5,12,4.0,5.0,11.0,3.0,evaluated,3.4755579381249997,0.002662805520833237,3.4680342397916664,0.0075236983333333285
1201959553390891008,2025,SF_1TE,5,15,3,8,3.0,3.0,4.0,5.0,evaluated,1.515911984270833,0.06952818374999992,1.469033619375,0.04687836489583308
1201959553390891008,2025,SF_1TE,5,15,3,12,3.0,3.0,4.0,5.0,evaluated,1.7732197730208332,0.12863378916666668,1.7948249759375,-0.021605202916666677
1201959553390891008,2025,SF_1TE,5,15,5,8,3.0,4.0,4.0,4.0,evaluated,1.4446860854166665,0.14260057427083317,1.4426571508333332,0.0020289345833333083
1201959553390891008,2025,SF_1TE,5,15,5,12,5.0,3.0,3.0,4.0,evaluated,1.8216487134375,0.08704134416666658,1.8590323791666663,-0.037383665729166404
