league_id,season,stratum,bench,capacity,test_week,lookback,seed,signed_capture,positive_capture,negative_capture,oracle_positive,positive_capture_fraction
918260594971672576,2023,SF_2TE,5,16,8,3,17000.0,3.025146117604166,3.7812929437499982,-0.7561468261458328,4.383114932395832,0.862695366667724
918260594971672576,2023,SF_2TE,5,16,8,5,17000.0,2.992127543124999,3.782848000729165,-0.7907204576041661,4.383114932395832,0.8630501501956834
918260594971672576,2023,SF_2TE,5,16,12,3,17000.0,2.8744407976041657,3.6308327946874983,-0.7563919970833326,4.185854898541664,0.8674053168810191
918260594971672576,2023,SF_2TE,5,16,12,5,17000.0,2.856820152604166,3.6294035763541657,-0.7725834237499992,4.185854898541664,0.8670638768722336
918260594971672576,2023,SF_2TE,12,23,8,3,17000.0,3.0677055672916658,3.8190741656249987,-0.7513685983333328,4.760001105208332,0.8023263190939635
918260594971672576,2023,SF_2TE,12,23,8,5,17000.0,3.0312344236458326,3.814417417291665,-0.7831829936458328,4.760001105208332,0.8013480108477241
918260594971672576,2023,SF_2TE,12,23,12,3,17000.0,2.9386282197916658,3.690765479895832,-0.752137260104166,4.6098350341666645,0.8006285371474304
918260594971672576,2023,SF_2TE,12,23,12,5,17000.0,2.9321493012499995,3.682634581145832,-0.7504852798958326,4.6098350341666645,0.7988647215900979
918960870980501504,2023,SF_1TE,5,15,8,3,17000.0,2.081212392708333,3.1704078265624993,-1.0891954338541658,3.9628711121874987,0.8000279940501116
918960870980501504,2023,SF_1TE,5,15,8,5,17000.0,1.9958862987499997,3.1586112408333324,-1.1627249420833328,3.9628711121874987,0.7970512165079686
918960870980501504,2023,SF_1TE,5,15,12,3,17000.0,2.2243715114583336,3.3104569984374987,-1.0860854869791658,3.947863818333332,0.8385438684749448
918960870980501504,2023,SF_1TE,5,15,12,5,17000.0,2.1728775441666666,3.2734263977083327,-1.1005488535416659,3.947863818333332,0.82916396014143
918960870980501504,2023,SF_1TE,12,22,12,3,17000.0,2.253198596875,3.349594722812499,-1.096396125937499,4.585753169999999,0.7304350231332881
