league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
969999751733186560,2023,1QB,9,11,25,24,32,False
969999751733186560,2023,1QB,10,11,24,24,32,False
969999751733186560,2023,1QB,11,11,21,24,30,False
969999751733186560,2023,1QB,12,11,19,24,29,False
969999751733186560,2023,1QB,1,12,23,24,31,False
969999751733186560,2023,1QB,2,12,18,24,27,False
969999751733186560,2023,1QB,3,12,24,24,32,False
969999751733186560,2023,1QB,4,12,17,24,25,False
969999751733186560,2023,1QB,5,12,20,24,29,False
969999751733186560,2023,1QB,6,12,20,24,28,False
969999751733186560,2023,1QB,7,12,21,24,33,False
969999751733186560,2023,1QB,8,12,21,24,28,False
969999751733186560,2023,1QB,9,12,26,24,32,False
969999751733186560,2023,1QB,10,12,24,24,33,False
969999751733186560,2023,1QB,11,12,24,24,31,False
969999751733186560,2023,1QB,12,12,19,24,28,False
969999751733186560,2023,1QB,1,13,21,24,31,False
969999751733186560,2023,1QB,2,13,18,24,27,False
969999751733186560,2023,1QB,3,13,23,24,33,False
969999751733186560,2023,1QB,4,13,17,24,25,False
969999751733186560,2023,1QB,5,13,19,24,29,False
969999751733186560,2023,1QB,6,13,22,24,28,False
969999751733186560,2023,1QB,7,13,19,24,32,False
969999751733186560,2023,1QB,8,13,20,24,28,False
969999751733186560,2023,1QB,9,13,23,24,32,False
969999751733186560,2023,1QB,10,13,18,24,33,False
969999751733186560,2023,1QB,11,13,24,24,32,False
969999751733186560,2023,1QB,12,13,19,24,28,False
969999751733186560,2023,1QB,1,14,21,24,31,False
969999751733186560,2023,1QB,2,14,18,24,27,False
969999751733186560,2023,1QB,3,14,23,24,32,False
969999751733186560,2023,1QB,4,14,17,24,25,False
969999751733186560,2023,1QB,5,14,21,24,29,False
969999751733186560,2023,1QB,6,14,21,24,28,False
969999751733186560,2023,1QB,7,14,20,24,32,False
969999751733186560,2023,1QB,8,14,21,24,28,False
969999751733186560,2023,1QB,9,14,22,24,32,False
969999751733186560,2023,1QB,10,14,19,24,33,False
969999751733186560,2023,1QB,11,14,23,24,32,False
969999751733186560,2023,1QB,12,14,19,24,28,False
969999751733186560,2023,1QB,1,15,20,24,32,False
969999751733186560,2023,1QB,2,15,17,24,27,False
969999751733186560,2023,1QB,3,15,23,24,30,False
969999751733186560,2023,1QB,4,15,18,24,25,False
969999751733186560,2023,1QB,5,15,21,24,29,False
969999751733186560,2023,1QB,6,15,22,24,28,False
969999751733186560,2023,1QB,7,15,20,24,31,False
969999751733186560,2023,1QB,8,15,20,24,28,False
969999751733186560,2023,1QB,9,15,22,24,32,False
969999751733186560,2023,1QB,10,15,21,24,31,False
969999751733186560,2023,1QB,11,15,22,24,32,False
969999751733186560,2023,1QB,12,15,19,24,28,False
1048204852251164672,2024,1QB,1,4,17,24,29,False
1048204852251164672,2024,1QB,2,4,20,24,28,False
1048204852251164672,2024,1QB,3,4,18,24,32,False
1048204852251164672,2024,1QB,4,4,21,24,32,False
1048204852251164672,2024,1QB,5,4,19,24,26,False
1048204852251164672,2024,1QB,6,4,19,24,30,False
1048204852251164672,2024,1QB,7,4,20,24,30,False
1048204852251164672,2024,1QB,8,4,15,24,28,False
1048204852251164672,2024,1QB,9,4,16,24,32,False
1048204852251164672,2024,1QB,10,4,20,24,33,False
1048204852251164672,2024,1QB,11,4,18,24,30,False
1048204852251164672,2024,1QB,12,4,17,24,28,False
1048204852251164672,2024,1QB,1,5,18,24,29,False
1048204852251164672,2024,1QB,2,5,18,24,26,False
1048204852251164672,2024,1QB,3,5,20,24,31,False
1048204852251164672,2024,1QB,4,5,19,24,32,False
1048204852251164672,2024,1QB,5,5,20,24,26,False
1048204852251164672,2024,1QB,6,5,20,24,31,False
1048204852251164672,2024,1QB,7,5,21,24,31,False
1048204852251164672,2024,1QB,8,5,16,24,28,False
1048204852251164672,2024,1QB,9,5,15,24,32,False
1048204852251164672,2024,1QB,10,5,21,24,33,False
1048204852251164672,2024,1QB,11,5,19,24,30,False
1048204852251164672,2024,1QB,12,5,18,24,28,False
1048204852251164672,2024,1QB,1,6,19,24,29,False
1048204852251164672,2024,1QB,2,6,18,24,26,False
1048204852251164672,2024,1QB,3,6,24,24,32,False
1048204852251164672,2024,1QB,4,6,20,24,32,False
1048204852251164672,2024,1QB,5,6,21,24,26,False
1048204852251164672,2024,1QB,6,6,22,24,32,False
1048204852251164672,2024,1QB,7,6,21,24,31,False
1048204852251164672,2024,1QB,8,6,18,24,29,False
1048204852251164672,2024,1QB,9,6,17,24,32,False
1048204852251164672,2024,1QB,10,6,22,24,33,False
1048204852251164672,2024,1QB,11,6,21,24,31,False
1048204852251164672,2024,1QB,12,6,18,24,28,False
1048204852251164672,2024,1QB,1,7,20,24,30,False
1048204852251164672,2024,1QB,2,7,20,24,26,False
1048204852251164672,2024,1QB,3,7,22,24,33,False
1048204852251164672,2024,1QB,4,7,21,24,31,False
1048204852251164672,2024,1QB,5,7,22,24,26,False
1048204852251164672,2024,1QB,6,7,22,24,32,False
1048204852251164672,2024,1QB,7,7,21,24,31,False
1048204852251164672,2024,1QB,8,7,18,24,29,False
1048204852251164672,2024,1QB,9,7,18,24,32,False
1048204852251164672,2024,1QB,10,7,23,24,32,False
1048204852251164672,2024,1QB,11,7,22,24,32,False
1048204852251164672,2024,1QB,12,7,18,24,28,False
1048204852251164672,2024,1QB,1,8,22,24,29,False
1048204852251164672,2024,1QB,2,8,21,24,26,False
1048204852251164672,2024,1QB,3,8,25,24,33,False
1048204852251164672,2024,1QB,4,8,20,24,31,False
1048204852251164672,2024,1QB,5,8,19,24,26,False
1048204852251164672,2024,1QB,6,8,18,24,30,False
1048204852251164672,2024,1QB,7,8,21,24,31,False
1048204852251164672,2024,1QB,8,8,19,24,31,False
1048204852251164672,2024,1QB,9,8,19,24,31,False
1048204852251164672,2024,1QB,10,8,24,24,31,False
1048204852251164672,2024,1QB,11,8,21,24,32,False
1048204852251164672,2024,1QB,12,8,18,24,28,False
1048204852251164672,2024,1QB,1,9,20,24,29,False
1048204852251164672,2024,1QB,2,9,22,24,27,False
1048204852251164672,2024,1QB,3,9,26,24,33,False
1048204852251164672,2024,1QB,4,9,21,24,31,False
1048204852251164672,2024,1QB,5,9,19,24,26,False
1048204852251164672,2024,1QB,6,9,21,24,30,False
1048204852251164672,2024,1QB,7,9,20,24,31,False
1048204852251164672,2024,1QB,8,9,19,24,30,False
1048204852251164672,2024,1QB,9,9,19,24,29,False
1048204852251164672,2024,1QB,10,9,22,24,30,False
1048204852251164672,2024,1QB,11,9,20,24,31,False
1048204852251164672,2024,1QB,12,9,18,24,28,False
1048204852251164672,2024,1QB,1,10,20,24,29,False
1048204852251164672,2024,1QB,2,10,22,24,27,False
1048204852251164672,2024,1QB,3,10,23,24,31,False
1048204852251164672,2024,1QB,4,10,21,24,31,False
1048204852251164672,2024,1QB,5,10,19,24,26,False
1048204852251164672,2024,1QB,6,10,23,24,30,False
1048204852251164672,2024,1QB,7,10,23,24,31,False
1048204852251164672,2024,1QB,8,10,18,24,30,False
1048204852251164672,2024,1QB,9,10,20,24,30,False
1048204852251164672,2024,1QB,10,10,23,24,31,False
1048204852251164672,2024,1QB,11,10,20,24,31,False
